Mean Training Episode Rewards,Mean Evaluation Episode Rewards,Training Distance,Evaluation Distance,run,logdir,Mean Training Episode Length,Mean Evaluation Episode Length,Distance Ratio,Distance Difference
10,9.0,1.0346297025680542,1.319021224975586,fluent-snowflake-1880,logs/train/ascent/ascent/2024-11-21__17-56-34__seed_2477,10.05,10.0,1.2748727604684493,0.28439152240753174
10,10.0,1.0316132307052612,1.3330941200256348,floral-meadow-1881,logs/train/ascent/ascent/2024-11-21__18-01-44__seed_2960,10.0,10.0,1.2922421701728917,0.30148088932037354
10,9.0,1.03395414352417,1.2971559762954712,woven-pond-1882,logs/train/ascent/ascent/2024-11-21__18-06-36__seed_2882,10.0,10.05,1.254558516371136,0.26320183277130127
10,10.0,1.0487788915634155,1.2693043947219849,good-meadow-1883,logs/train/ascent/ascent/2024-11-21__18-11-27__seed_7094,10.05,10.0,1.2102688230403187,0.22052550315856934
10,10.0,1.0454124212265017,1.3315685987472534,classic-valley-1884,logs/train/ascent/ascent/2024-11-21__18-16-18__seed_8846,10.0,10.05,1.2737256337408225,0.28615617752075173
10,10.0,1.0293424129486084,1.2796231508255005,deep-river-1885,logs/train/ascent/ascent/2024-11-21__18-21-09__seed_4479,10.0,10.0,1.2431462404817741,0.2502807378768921
10,10.0,1.0495096445083618,1.2800745964050293,youthful-totem-1886,logs/train/ascent/ascent/2024-11-21__18-25-59__seed_6901,10.05,10.0,1.2196882640413225,0.23056495189666748
10,10.0,1.031152606010437,1.3417987823486328,spring-serenity-1887,logs/train/ascent/ascent/2024-11-21__18-31-00__seed_542,10.0,10.0,1.301261107742428,0.3106461763381958
10,10.0,1.0365949869155884,1.333937406539917,breezy-field-1888,logs/train/ascent/ascent/2024-11-21__18-35-51__seed_3142,10.05,10.0,1.286845318931242,0.2973424196243286
10,10.0,1.0291863679885864,1.324063062667847,rosy-wildflower-1889,logs/train/ascent/ascent/2024-11-21__18-40-41__seed_2323,10.0,10.0,1.2865143805349457,0.2948766946792605
10,10.0,1.0388972759246826,1.3047945499420166,sandy-fire-1890,logs/train/ascent/ascent/2024-11-21__18-45-29__seed_8247,10.05,10.05,1.2559418338840758,0.265897274017334
10,-8.0,1.0387661457061768,1.4281907081604004,dulcet-breeze-1891,logs/train/ascent/ascent/2024-11-21__18-50-17__seed_3748,10.0,10.05,1.3748914652869093,0.38942456245422363
10,5.5,1.0374876260757446,1.4112908840179443,vital-butterfly-1892,logs/train/ascent/ascent/2024-11-21__18-55-06__seed_5530,10.0,10.0,1.3602965939517713,0.3738032579421997
10,1.5,1.0364726781845093,1.424463152885437,helpful-microwave-1893,logs/train/ascent/ascent/2024-11-21__19-00-11__seed_5945,10.0,10.0,1.3743373876294875,0.38799047470092773
10,-7.0,1.040170431137085,1.4407765865325928,silvery-sunset-1894,logs/train/ascent/ascent/2024-11-21__19-04-59__seed_6883,10.0,10.1,1.3851351119042834,0.4006061553955078
10,9.5,1.0484265089035034,1.3247698545455933,earnest-shape-1895,logs/train/ascent/ascent/2024-11-21__19-09-47__seed_7113,10.05,10.0,1.2635791286230482,0.27634334564208984
10,-7.5,1.0379531383514404,1.439527988433838,dry-cloud-1896,logs/train/ascent/ascent/2024-11-21__19-14-35__seed_3626,10.0,10.0,1.386891117955682,0.40157485008239746
10,-8.5,1.040283203125,1.435120940208435,ethereal-blaze-1897,logs/train/ascent/ascent/2024-11-21__19-19-24__seed_8776,10.05,10.1,1.379548315206231,0.39483773708343506
10,10.0,1.0451759099960327,1.269788146018982,bumbling-gorge-1898,logs/train/ascent/ascent/2024-11-21__19-24-12__seed_6473,10.0,10.0,1.214903762969242,0.22461223602294922
10,2.0,1.0347435474395752,1.403280258178711,copper-brook-1899,logs/train/ascent/ascent/2024-11-21__19-29-00__seed_3297,10.0,10.0,1.356162366656997,0.36853671073913574
10,-9.5,1.0485001802444458,1.4382599592208862,clean-pond-1900,logs/train/ascent/ascent/2024-11-21__19-33-47__seed_5750,10.0,10.15,1.3717307696461936,0.38975977897644043
10,6.5,1.0318447351455688,1.414791464805603,zesty-serenity-1901,logs/train/ascent/ascent/2024-11-21__19-38-35__seed_2929,10.0,10.0,1.3711282488697385,0.3829467296600342
10,10.0,1.0261787176132202,1.335807204246521,rare-durian-1902,logs/train/ascent/ascent/2024-11-22__09-37-50__seed_1285,10.0,10.0,1.3017295928271275,0.3096284866333008
10,9.5,1.045208215713501,1.3117152452468872,divine-resonance-1903,logs/train/ascent/ascent/2024-11-22__09-40-53__seed_500,10.0,10.05,1.2549798456678394,0.26650702953338623
10,-8.0,1.0327736139297483,1.4436968564987185,fallen-dew-1906,logs/train/ascent/ascent/2024-11-22__09-44-58__seed_7176,10.0,10.05,1.3978831730657695,0.41092324256897017
10,10.0,1.031115174293518,1.2808341979980469,easy-darkness-1907,logs/train/ascent/ascent/2024-11-22__09-53-28__seed_9943,10.05,10.0,1.242183443644525,0.2497190237045288
10,10.0,1.044894814491272,1.281527757644653,logical-bird-1908,logs/train/ascent/ascent/2024-11-22__10-01-58__seed_8014,10.0,10.0,1.2264658029416966,0.23663294315338113
10,10.0,1.026264190673828,1.3301095962524414,glad-grass-1909,logs/train/ascent/ascent/2024-11-22__10-10-38__seed_2123,10.0,10.05,1.2960693828546368,0.3038454055786135
10,4.5,1.0419058799743652,1.4191484451293943,rosy-grass-1910,logs/train/ascent/ascent/2024-11-22__10-19-31__seed_3855,10.0,10.0,1.362069715130421,0.3772425651550291
10,-8.0,1.0464636087417605,1.4432823657989502,eager-star-1911,logs/train/ascent/ascent/2024-11-22__10-28-34__seed_7911,10.0,10.05,1.3791997674284286,0.3968187570571897
10,9.0,1.0339208841323853,1.3064072132110596,eager-morning-1912,logs/train/ascent/ascent/2024-11-22__10-37-33__seed_1729,10.0,10.3,1.2635465955476188,0.2724863290786743
10,-8.0,1.039413332939148,1.4400721788406372,copper-glade-1913,logs/train/ascent/ascent/2024-11-22__10-46-31__seed_1208,10.0,10.05,1.3854663329828054,0.40065884590148926
10,4.5,1.0492993593215942,1.4128283262252808,misty-pond-1914,logs/train/ascent/ascent/2024-11-22__10-55-36__seed_3519,10.0,10.0,1.3464492412715467,0.3635289669036865
