Type,Meg,Elapsed,Convergence_Type,Scheduler,Converged,atol,seed,n_states
KLDiv Meg,2.359221935272217,5.043327808380127,Q,True,True,0.001,42,10
Matt Meg,2.378286838531494,3.6190967559814453,Q,,True,0.001,42,10
KLDiv Meg,2.3719019889831543,5.04590630531311,Q,True,True,0.001,6033,10
Matt Meg,2.3777897357940674,3.488234758377075,Q,,True,0.001,6033,10
KLDiv Meg,2.373286247253418,5.573331356048584,Q,True,True,0.001,0,10
Matt Meg,2.3785207271575928,3.8774759769439697,Q,,True,0.001,0,10
KLDiv Meg,2.3641891479492188,4.62898063659668,Q,True,True,0.001,100,10
Matt Meg,2.378112316131592,3.6547980308532715,Q,,True,0.001,100,10
KLDiv Meg,2.3724029064178467,6.167348146438599,Q,True,True,0.001,500,10
Matt Meg,2.378640651702881,3.466458559036255,Q,,True,0.001,500,10
KLDiv Meg,4.210492134094238,9.843449831008911,Q,True,True,0.001,42,20
Matt Meg,4.240035057067871,6.667951583862305,Q,,True,0.001,42,20
KLDiv Meg,4.212202072143555,10.509115934371948,Q,True,True,0.001,6033,20
Matt Meg,4.239963054656982,6.6130530834198,Q,,True,0.001,6033,20
KLDiv Meg,4.200018882751465,8.563310623168945,Q,True,True,0.001,0,20
Matt Meg,4.240034103393555,6.6445746421813965,Q,,True,0.001,0,20
KLDiv Meg,4.198700904846191,8.499496698379517,Q,True,True,0.001,100,20
Matt Meg,4.239914417266846,6.57038950920105,Q,,True,0.001,100,20
KLDiv Meg,4.217684745788574,11.39235544204712,Q,True,True,0.001,500,20
Matt Meg,4.240132808685303,6.831043004989624,Q,,True,0.001,500,20
KLDiv Meg,6.3305792808532715,60.482704877853394,Q,True,True,0.001,42,50
Matt Meg,6.370397567749023,33.41582131385803,Q,,True,0.001,42,50
KLDiv Meg,6.333600044250488,61.21890687942505,Q,True,True,0.001,6033,50
Matt Meg,6.3703413009643555,34.80270171165466,Q,,True,0.001,6033,50
KLDiv Meg,6.33817195892334,69.32256865501404,Q,True,True,0.001,0,50
Matt Meg,6.370429992675781,32.832141637802124,Q,,True,0.001,0,50
KLDiv Meg,6.332439422607422,68.04941964149475,Q,True,True,0.001,100,50
Matt Meg,6.370327949523926,35.24669814109802,Q,,True,0.001,100,50
KLDiv Meg,6.3287577629089355,60.34959864616394,Q,True,True,0.001,500,50
Matt Meg,6.37034797668457,37.86369347572327,Q,,True,0.001,500,50
KLDiv Meg,6.701545715332031,80.9367687702179,Q,True,True,0.001,42,76
Matt Meg,6.783007621765137,85.16677689552307,Q,,True,0.001,42,76
KLDiv Meg,6.698038101196289,83.36194205284119,Q,True,True,0.001,6033,76
Matt Meg,6.78289270401001,90.5412962436676,Q,,True,0.001,6033,76
KLDiv Meg,6.699097633361816,82.8089747428894,Q,True,True,0.001,0,76
Matt Meg,6.783066749572754,87.26497983932495,Q,,True,0.001,0,76
KLDiv Meg,6.6905927658081055,74.18500328063965,Q,True,True,0.001,100,76
Matt Meg,6.7830376625061035,87.14103865623474,Q,,True,0.001,100,76
KLDiv Meg,6.701143264770508,79.45124578475952,Q,True,True,0.001,500,76
Matt Meg,6.78288459777832,83.42163491249084,Q,,True,0.001,500,76
KLDiv Meg,6.760965347290039,84.30558323860168,Q,True,True,0.001,42,100
Matt Meg,6.882021903991699,158.41657185554504,Q,,True,0.001,42,100
KLDiv Meg,6.760505676269531,82.88954567909241,Q,True,True,0.001,6033,100
Matt Meg,6.88162899017334,170.90105605125427,Q,,True,0.001,6033,100
KLDiv Meg,6.761572360992432,81.56308937072754,Q,True,True,0.001,0,100
Matt Meg,6.8820085525512695,154.49939894676208,Q,,True,0.001,0,100
KLDiv Meg,6.766745567321777,83.91264533996582,Q,True,True,0.001,100,100
Matt Meg,6.882184028625488,155.1839497089386,Q,,True,0.001,100,100
KLDiv Meg,6.760410308837891,88.71694469451904,Q,True,True,0.001,500,100
Matt Meg,6.881779670715332,164.2860426902771,Q,,True,0.001,500,100
KLDiv Meg,1.933384895324707,81.61454057693481,Q,True,True,0.001,42,150
Matt Meg,1.675595760345459,144.05137181282043,Q,,True,0.001,42,150
KLDiv Meg,1.9338651895523071,101.78192281723022,Q,True,True,0.001,6033,150
Matt Meg,1.9462316036224365,826.7368674278259,Q,,True,0.001,6033,150
KLDiv Meg,1.9334043264389038,88.68823289871216,Q,True,True,0.001,0,150
Matt Meg,1.8071990013122559,279.22295928001404,Q,,True,0.001,0,150
KLDiv Meg,1.9330754280090332,89.71460151672363,Q,True,True,0.001,100,150
Matt Meg,1.7093157768249512,158.83444499969482,Q,,True,0.001,100,150
KLDiv Meg,1.9331250190734863,90.02769136428833,Q,True,True,0.001,500,150
Matt Meg,1.7685284614562988,197.4897816181183,Q,,True,0.001,500,150
KLDiv Meg,2.3813960552215576,22.077545166015625,Q,True,True,1e-05,42,10
Matt Meg,2.3820114135742188,80.25290966033936,Q,,True,1e-05,42,10
KLDiv Meg,2.381438732147217,22.304893970489502,Q,True,True,1e-05,6033,10
Matt Meg,2.3819732666015625,34.38999366760254,Q,,True,1e-05,6033,10
KLDiv Meg,2.381403923034668,22.03063201904297,Q,True,True,1e-05,0,10
Matt Meg,2.3817319869995117,32.77002167701721,Q,,True,1e-05,0,10
KLDiv Meg,2.3816070556640625,25.320164680480957,Q,True,True,1e-05,100,10
Matt Meg,2.3816757202148438,30.141650915145874,Q,,True,1e-05,100,10
KLDiv Meg,2.381636142730713,27.23606300354004,Q,True,True,1e-05,500,10
Matt Meg,2.3820018768310547,37.20733618736267,Q,,True,1e-05,500,10
KLDiv Meg,4.240503787994385,65.29370164871216,Q,True,True,1e-05,42,20
Matt Meg,4.242625713348389,30.05825400352478,Q,,True,1e-05,42,20
KLDiv Meg,4.241074562072754,77.62892007827759,Q,True,True,1e-05,6033,20
Matt Meg,4.242541313171387,34.35820007324219,Q,,True,1e-05,6033,20
KLDiv Meg,4.240539073944092,63.33679819107056,Q,True,True,1e-05,0,20
Matt Meg,4.242589950561523,30.152284383773804,Q,,True,1e-05,0,20
KLDiv Meg,4.2412285804748535,80.34369134902954,Q,True,True,1e-05,100,20
Matt Meg,4.242582321166992,30.222384214401245,Q,,True,1e-05,100,20
KLDiv Meg,4.241080284118652,75.59641551971436,Q,True,True,1e-05,500,20
Matt Meg,4.242624282836914,30.074458837509155,Q,,True,1e-05,500,20
KLDiv Meg,6.348255157470703,96.30092930793762,Q,True,True,1e-05,42,50
Matt Meg,6.372097015380859,77.81320071220398,Q,,True,1e-05,42,50
KLDiv Meg,6.347710132598877,94.31632041931152,Q,True,True,1e-05,6033,50
Matt Meg,6.372164726257324,76.296950340271,Q,,True,1e-05,6033,50
KLDiv Meg,6.347843647003174,95.18212103843689,Q,True,True,1e-05,0,50
Matt Meg,6.372097015380859,79.2960741519928,Q,,True,1e-05,0,50
KLDiv Meg,6.347744941711426,95.15252184867859,Q,True,True,1e-05,100,50
Matt Meg,6.372073173522949,76.67590856552124,Q,,True,1e-05,100,50
KLDiv Meg,6.347580909729004,94.82256603240967,Q,True,True,1e-05,500,50
Matt Meg,6.372225761413574,77.55895829200745,Q,,True,1e-05,500,50
KLDiv Meg,6.7198309898376465,101.98603796958923,Q,True,True,1e-05,42,76
Matt Meg,6.78611946105957,161.90537190437317,Q,,True,1e-05,42,76
KLDiv Meg,6.718194961547852,98.71642017364502,Q,True,True,1e-05,6033,76
Matt Meg,6.786254405975342,176.89648580551147,Q,,True,1e-05,6033,76
KLDiv Meg,6.719218730926514,101.57035946846008,Q,True,True,1e-05,0,76
Matt Meg,6.786079406738281,156.7139229774475,Q,,True,1e-05,0,76
KLDiv Meg,6.718120574951172,99.34129405021667,Q,True,True,1e-05,100,76
Matt Meg,6.786072254180908,174.7116527557373,Q,,True,1e-05,100,76
KLDiv Meg,6.718014240264893,95.11055827140808,Q,True,True,1e-05,500,76
Matt Meg,6.786096096038818,154.6454508304596,Q,,True,1e-05,500,76
KLDiv Meg,6.785686492919922,97.89424157142639,Q,True,True,1e-05,42,100
Matt Meg,6.886653423309326,268.0055522918701,Q,,True,1e-05,42,100
KLDiv Meg,6.786960601806641,101.60647225379944,Q,True,True,1e-05,6033,100
Matt Meg,6.88657283782959,245.93020844459534,Q,,True,1e-05,6033,100
KLDiv Meg,6.782931327819824,92.8976571559906,Q,True,True,1e-05,0,100
Matt Meg,6.886612892150879,264.7292277812958,Q,,True,1e-05,0,100
KLDiv Meg,6.7869157791137695,96.62959671020508,Q,True,True,1e-05,100,100
Matt Meg,6.886580944061279,257.56138825416565,Q,,True,1e-05,100,100
KLDiv Meg,6.7846479415893555,94.67494654655457,Q,True,True,1e-05,500,100
Matt Meg,6.886668682098389,252.8462679386139,Q,,True,1e-05,500,100
KLDiv Meg,1.9386003017425537,98.56911778450012,Q,True,True,1e-05,42,150
Matt Meg,1.9507726430892944,1279.8390862941742,Q,,True,1e-05,42,150
KLDiv Meg,1.9379329681396484,96.4903028011322,Q,True,True,1e-05,6033,150
Matt Meg,1.9508079290390015,1183.9994628429413,Q,,True,1e-05,6033,150
KLDiv Meg,1.9379901885986328,117.13461422920227,Q,True,True,1e-05,0,150
Matt Meg,1.9508707523345947,1963.1041560173035,Q,,True,1e-05,0,150
KLDiv Meg,1.9382915496826172,128.91310334205627,Q,True,True,1e-05,100,150
Matt Meg,1.9509410858154297,2289.423530817032,Q,,True,1e-05,100,150
KLDiv Meg,1.9383559226989746,133.369859457016,Q,True,True,1e-05,500,150
Matt Meg,1.9511133432388306,2700.9561619758606,Q,,True,1e-05,500,150
