Type,Meg,Elapsed,Convergence_Type,Scheduler,Converged,atol,seed,n_states
KLDiv Meg,2.7628746032714844,7.211834192276001,Q,True,True,0.001,42,10
Matt Meg,2.777096748352051,56.83320951461792,Q,,True,0.001,42,10
KLDiv Meg,2.7606043815612793,8.23918604850769,Q,True,True,0.001,6033,10
Matt Meg,2.777102470397949,68.1036388874054,Q,,True,0.001,6033,10
KLDiv Meg,2.7584850788116455,9.193362951278687,Q,True,True,0.001,0,10
Matt Meg,2.77718448638916,75.26208567619324,Q,,True,0.001,0,10
KLDiv Meg,2.755152702331543,7.759012937545776,Q,True,True,0.001,100,10
Matt Meg,2.7772326469421387,81.6745719909668,Q,,True,0.001,100,10
KLDiv Meg,2.7558112144470215,6.521948337554932,Q,True,True,0.001,500,10
Matt Meg,2.777350902557373,127.98740267753601,Q,,True,0.001,500,10
KLDiv Meg,4.646416664123535,16.505170345306396,Q,True,True,0.001,42,20
Matt Meg,4.710343837738037,28.56546926498413,Q,,True,0.001,42,20
KLDiv Meg,4.666994094848633,12.41788649559021,Q,True,True,0.001,6033,20
Matt Meg,4.71308708190918,28.828903675079346,Q,,True,0.001,6033,20
KLDiv Meg,4.6658220291137695,12.319204807281494,Q,True,True,0.001,0,20
Matt Meg,4.72015380859375,29.15782141685486,Q,,True,0.001,0,20
KLDiv Meg,4.665356636047363,11.72771954536438,Q,True,True,0.001,100,20
Matt Meg,4.708353042602539,22.95969319343567,Q,,True,0.001,100,20
KLDiv Meg,4.666251182556152,10.898714780807495,Q,True,True,0.001,500,20
Matt Meg,4.71183967590332,23.413611888885498,Q,,True,0.001,500,20
KLDiv Meg,6.312371730804443,23.68985867500305,Q,True,True,0.001,42,50
Matt Meg,6.598671913146973,84.74627614021301,Q,,True,0.001,42,50
KLDiv Meg,6.27462100982666,28.151976108551025,Q,True,True,0.001,6033,50
Matt Meg,6.598423004150391,86.7834677696228,Q,,True,0.001,6033,50
KLDiv Meg,6.288939952850342,27.069445371627808,Q,True,True,0.001,0,50
Matt Meg,6.598586082458496,87.98371076583862,Q,,True,0.001,0,50
KLDiv Meg,6.285332202911377,28.10617423057556,Q,True,True,0.001,100,50
Matt Meg,6.59893798828125,93.23221969604492,Q,,True,0.001,100,50
KLDiv Meg,6.271388053894043,21.965264558792114,Q,True,True,0.001,500,50
Matt Meg,6.598581314086914,85.7217628955841,Q,,True,0.001,500,50
KLDiv Meg,6.424956321716309,42.81926488876343,Q,True,True,0.001,42,76
Matt Meg,6.862691879272461,235.8779673576355,Q,,True,0.001,42,76
KLDiv Meg,6.5712785720825195,48.182634353637695,Q,True,True,0.001,6033,76
Matt Meg,6.86204195022583,247.42533612251282,Q,,True,0.001,6033,76
KLDiv Meg,6.598352909088135,52.58385133743286,Q,True,True,0.001,0,76
Matt Meg,6.8625664710998535,251.33437705039978,Q,,True,0.001,0,76
KLDiv Meg,6.441582679748535,34.36012840270996,Q,True,True,0.001,100,76
Matt Meg,6.862578392028809,230.38272833824158,Q,,True,0.001,100,76
KLDiv Meg,6.364236831665039,30.72412610054016,Q,True,True,0.001,500,76
Matt Meg,6.8623857498168945,230.93150091171265,Q,,True,0.001,500,76
KLDiv Meg,6.283003330230713,64.20541453361511,Q,True,True,0.001,42,100
Matt Meg,6.494907379150391,443.3914611339569,Q,,True,0.001,42,100
KLDiv Meg,6.117345809936523,61.95679473876953,Q,True,True,0.001,6033,100
Matt Meg,6.495281219482422,386.8221368789673,Q,,True,0.001,6033,100
KLDiv Meg,6.240158557891846,61.911824464797974,Q,True,True,0.001,0,100
Matt Meg,6.495371341705322,362.9019351005554,Q,,True,0.001,0,100
KLDiv Meg,6.277612686157227,68.02129316329956,Q,True,True,0.001,100,100
Matt Meg,6.495851516723633,395.5187563896179,Q,,True,0.001,100,100
KLDiv Meg,6.294816017150879,74.91914463043213,Q,True,True,0.001,500,100
Matt Meg,6.4954304695129395,334.82627415657043,Q,,True,0.001,500,100
KLDiv Meg,0.039312805980443954,77.1927797794342,Q,True,True,0.001,42,150
Matt Meg,0.03289443626999855,17.03688955307007,Q,,True,0.001,42,150
KLDiv Meg,0.0372985377907753,90.58054327964783,Q,True,True,0.001,6033,150
Matt Meg,0.027817152440547943,7.913823366165161,Q,,True,0.001,6033,150
KLDiv Meg,0.04252642020583153,109.42182207107544,Q,True,True,0.001,0,150
Matt Meg,0.031158944591879845,14.195422649383545,Q,,True,0.001,0,150
KLDiv Meg,0.0352075956761837,101.10632491111755,Q,True,True,0.001,100,150
Matt Meg,0.02972681075334549,12.378814697265625,Q,,True,0.001,100,150
KLDiv Meg,0.03975069895386696,106.68476176261902,Q,True,True,0.001,500,150
Matt Meg,0.030591800808906555,49.8162055015564,Q,,True,0.001,500,150
KLDiv Meg,2.77731990814209,25.787922143936157,Q,True,True,1e-05,42,10
Matt Meg,2.7789716720581055,202.73698019981384,Q,,True,1e-05,42,10
KLDiv Meg,2.7770447731018066,28.415828466415405,Q,True,True,1e-05,6033,10
Matt Meg,2.7789812088012695,201.17780566215515,Q,,True,1e-05,6033,10
KLDiv Meg,2.7773585319519043,25.888542652130127,Q,True,True,1e-05,0,10
Matt Meg,2.778947114944458,180.63882064819336,Q,,True,1e-05,0,10
KLDiv Meg,2.777435064315796,26.030320644378662,Q,True,True,1e-05,100,10
Matt Meg,2.779057741165161,222.8911154270172,Q,,True,1e-05,100,10
KLDiv Meg,2.7774128913879395,22.711508750915527,Q,True,True,1e-05,500,10
Matt Meg,2.7789645195007324,163.13162064552307,Q,,True,1e-05,500,10
KLDiv Meg,4.724700927734375,26.404459714889526,Q,True,True,1e-05,42,20
Matt Meg,4.740103721618652,418.48866534233093,Q,,True,1e-05,42,20
KLDiv Meg,4.725545883178711,23.240524291992188,Q,True,True,1e-05,6033,20
Matt Meg,4.741530418395996,404.80458641052246,Q,,True,1e-05,6033,20
